Title,Image,css2lqh28,cssl2wjgv,joblink_URL,joblink,css3g3psg,css3g3psg1,css3g3psg2,cssr3emcz,dflex,Description,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16
Tasks: Proficiently utilize analytical tools and data management skills to provide actionable business intelligence Acquire business knowledge across the……,https://media.glassdoor.com/sql/456861/proteam-solutions-squarelogo-1514989064329.png,3.0,Proteam Solutions Inc.,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=00000186d383966595ad8d125727e300&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ceb68b11&cb=1678585862128&jobListingId=1008521580184&cpc=179A63ACDFA89555&jrtk=3-0-1gr9o75k3kckv801-1gr9o75kkharn800-6548b6bae97674d8--6NYlbfkN0AEHyidsAqlM5jU6RNZv1Yf_D4e3sgfUyke_uMGTUdwuGEsMH9zTzauIRFeNPBJHlpfMBZZlmek1sj9_cXOGb7ZknOE9gJEE_zMscG36N6k4035LbtZLMUPI89Swd4YHOYhJRL4B2XrtQl1nWKtNvQMcu4fzWNgKeGT4dWmA-r4ZGPPTfs94XW5FYsfynLysvW8Aia4eIWQXr7rFJl51QVBTCbrdAlNGz7ODHYxT-zMEZaUeLH2YzlJxbP88ymdB-d6GSOa8Y4hKmcYTev8iWsVMb5nccKsOS3wE_p7GfHt05yEvC3UW8lv5JwJWVFsq2JZxndOi53C565PezRsCo5CFY1c7aM76gY3oljDq_cp7F2pbSfVr1AbFNX0586BgOcAb7V0I-f34fVrEk-oyReZKF-HjxY1feaIUAqbye_hfbhtd42LB7ObCG9wTa7ILZ4xvI9cUX1mTMR0tgcLZfXoGN6Iz4DhmGK7fQM023mWxTKBcf3_WL1wNICCLDsc2E4el_bku8NZSIQAXv2G9XQB-LMDZaqZ0dpT6EcKpW1rzFiphkwQQsMy05ICTNkslH9I-s1ams1h5fhuNAqK4GS82y13LjtqThQ%3D,Data Scientist,"New Albany, OH",$33.00 - $41.00 Per Hour(Employer est.),(Employer est.),Easy Apply,1 day ago,data,Show More,"Basic Qualifications:
Education: Bachelor degree in mathematics, operations research, applied statistics, economics, data science or a related quantitative discipline.","Experience: 3 years experience applying quantitative, business analytics, and computational skills.",Additional Requirements:,"Additional Requirements:
1) Competence with analytic software packages such as SAS, R, SPSS
2) Knowledge of database concepts and practices
3) Ability to work in a collaborative, team oriented environment
4) Ability to apply strong analytical and complex problem solving and critical thinking skills
5) Excellent oral and written communication skills.
6) Willingness for occasional travel","Candidates must be local to New Albany/Columbus, OH area for consideration, and must possess the following skills:",Employer Provided Salary:$33.00 - $41.00 Per Hour,Proteam Solutions Inc.,Data Scientist,"New Albany, OH",$33.00 - $41.00 Per Hour(Employer est.),Easy Apply,Tasks: Proficiently utilize analytical tools and data management skills to provide actionable business intelligence Acquire business knowledge across the……,1 day ago,,3.0
Work closely with departmental leaders to help design and develop self-serve capabilities making data easily accessible. 3-5 years’ experience in analytics.…,https://media.glassdoor.com/sql/1260009/slim-chickens-squarelogo-1500634472994.png,3.7,Slim Chickens,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=00000186d383966595ad8d125727e300&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_26829478&cb=1678585862128&jobListingId=1008428688354&cpc=7B914D47B0B0E7B2&jrtk=3-0-1gr9o75k3kckv801-1gr9o75kkharn800-e150557bba8ec2b1--6NYlbfkN0DdhE0GJ1OLpp1dBADwNsb9mCEdAPVKR2XSG2R8U4D79hucf7w9HM-mtHTLlsXyFfhXqeZvlB9QoPVwac2TGF-W1zcKjj_I3s6mLeQMNxHYf9B-BvD660j9j_l-R59Z7AvxkwS8r1mUPFK8AaFZedaYiKDWukiF1L7WCBx48W2coMRFFHXwnfOtEa5RnpE6QnvXt5o252Zo8IUg_Pt2b8z5MWzWWAGsd82go2r32afkEDAgJSBoMRdtEs1md9fdv1qrSsWgCXA0crwkpo7GLjjFDrC6BVWKgwQgLkFoliRGq8rr0uhRO6dtBLQavn8_hcaEOp5d50Dmj6FvJfcsM3bdc7xMYc2lM_QJvG3zcZ4Xgf7vOTl7oDU37gdPZRwEkMufHHWB_PtGos58PX4rZ4J3dhphg1MZe9WX0L2aKW4Wl-Ixss0xTbV7A0p61O-Bm47XM6qfgLrBRHFKLWPJ6mexRYCARrX6CViZTAPkbGe6a56OKNhab3Sto7yHssbo7FBIyRTsMg81Od5EW8JFH2z28rTZxPKiNhjPyD83RYBhbFfAUs01uvhVa1J90JK7TrG6jR-nv0YZQNyMk-F6wrBUgMG-O0tGQhMR4vrzdN9mqw%3D%3D,Senior Data Analyst - Finance,"Fayetteville, AR",,,Easy Apply,30d+,data,Show More,"Basic Qualifications:
Education: Bachelor degree in mathematics, operations research, applied statistics, economics, data science or a related quantitative discipline.","Experience: 3 years experience applying quantitative, business analytics, and computational skills.",Additional Requirements:,"Additional Requirements:
1) Competence with analytic software packages such as SAS, R, SPSS
2) Knowledge of database concepts and practices
3) Ability to work in a collaborative, team oriented environment
4) Ability to apply strong analytical and complex problem solving and critical thinking skills
5) Excellent oral and written communication skills.
6) Willingness for occasional travel","Candidates must be local to New Albany/Columbus, OH area for consideration, and must possess the following skills:",Employer Provided Salary:$33.00 - $41.00 Per Hour,Slim Chickens,Senior Data Analyst - Finance,"Fayetteville, AR",,,Work closely with departmental leaders to help design and develop self-serve capabilities making data easily accessible. 3-5 years’ experience in analytics.…,,,3.0
"Partner with the business to understand the market segmentation strategies and develop visualization, models using machine learning (e.g. classification,……",https://media.glassdoor.com/sql/817030/beam-suntory-squarelogo-1429865801523.png,3.8,Beam Inc.,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=00000186d383966595ad8d125727e300&src=GD_JOB_AD&t=SR&vt=w&cs=1_00fa963c&cb=1678585862128&jobListingId=1008258258056&cpc=5D10E799EF7E9049&jrtk=3-0-1gr9o75k3kckv801-1gr9o75kkharn800-441d6b1b716470fd--6NYlbfkN0CTUQCEalE6IsD6lHWLXDhiQ7NM-E4e5exIdFEWtle2BNmIBy5eeUoQfmFCMBE80xPR3NSK8gYvpAqO_-WEJamx7YXzsFoEGn9CZM-cVDlRMOY67hmFeKmqrbJ3iY9XEoBKIkkMO8mYfEIi3y0wDqcvwVHyGYz4oCf5UtMAUV15oCENe-VH8EE04IfpFA7cjbB9siDN8oU2z-0XYaxTMYV8HGGLmjZ8I_wlIeLcd_vGKyFvHmHiJkM7FtVrMUs_LNTIFb3zvt5PQNZn3NJZI7qjvW7OSmAQkgqAhwGfMVKJ8P2cT0Lxo5CYl0mStObRpqBxGhufNgV04O7X7hLZm8eS5AOPn39kPIaUhP4qO90vCvrvN4VgKB9MJwMAI41EO4v0ZtOtSatgJ1mrcDdTaQmX0rGLXK8it9eatE9HdeCWcNKB_9gjtypNPK2zLXKQYtqCYE90_vbf8GAQcvVu7-o2aYNbcsyDj0yGuApElYw46CY1Q9SKbVHs8biaM7a-0vKsOKlFRJCI10aMFG20DMubWwvZiNvSTIVbcSySGobE2XY8nTvCWrBUa9PHJ8iXXQtuxxz35A5xDrNXM3r-knb2P8t9-bAATxh-IMlFchP6F3BpdbEnsdsfyXnHtMOnAXJb4OZqkwEtm0y--67nbEfMG3xRyUIrfKyLEXd5hUpG_hnbHj9wilylKwXzChAx1-4lwExkeJ3her0sPaWbEYw1,Data Scientist - Supply Planning,"Chicago, IL",$84K - $120K (Glassdoor est.),(Glassdoor est.),,30d+,,Show More,"Basic Qualifications:
Education: Bachelor degree in mathematics, operations research, applied statistics, economics, data science or a related quantitative discipline.","Experience: 3 years experience applying quantitative, business analytics, and computational skills.",Additional Requirements:,"Additional Requirements:
1) Competence with analytic software packages such as SAS, R, SPSS
2) Knowledge of database concepts and practices
3) Ability to work in a collaborative, team oriented environment
4) Ability to apply strong analytical and complex problem solving and critical thinking skills
5) Excellent oral and written communication skills.
6) Willingness for occasional travel","Candidates must be local to New Albany/Columbus, OH area for consideration, and must possess the following skills:",Employer Provided Salary:$33.00 - $41.00 Per Hour,Beam Inc.,Data Scientist - Supply Planning,"Chicago, IL",$84K - $120K (Glassdoor est.),,"Partner with the business to understand the market segmentation strategies and develop visualization, models using machine learning (e.g. classification,……",30d+,,3.0
"College degree in a related field (i.e., Sciences, Math). Work closely with software development teams to ensure correct implementation of games math and game……",https://media.glassdoor.com/sql/359684/ainsworth-game-technology-squarelogo-1448949065277.png,3.0,Ainsworth Game Technology,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=00000186d383966595ad8d125727e300&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e88f0794&cb=1678585862129&jobListingId=1008424862250&cpc=965F231502A4159E&jrtk=3-0-1gr9o75k3kckv801-1gr9o75kkharn800-8847ed20e0aa2b69--6NYlbfkN0AhTaXticpO8D1EV9nGWUa2G9Nr_0uERllJkF2KKfHsNH6yBwTsasFqApNCiszhgJWxJ49V7IVmnARiRoIB8V_yBy8puZVcPGgyyJ5lTkS9fJWh3mSA_hntIBAfHrM8_vLnEPiuYGzdqKm5XA-gSDzvaKJAgRcUT8JPD6SVmJpyROugJnT1l8PHxKIT2WtdEKBOYZU0BILJJynMRdM-8_dLU7csioPztdLq5-KvzjUOcBFyGWIQ4S7TXWfkBgTqD10d8RKV8hBKIpQ55i6_FMHl9nIddIfmn50BsAUlS8tz1bi58mZFvmsT6UtNQQ6Cw2f0FwHod5PdvMFOzj5zemW7wGQuV4D5tSE7igJfzgA2arqcsERzGoCLQR-n5JsCPvR4YdE75FXgKDBQ7r74iq3oEL4ijXMg2fPoIGEPN0uM-GexN8nFh-oFNCPsDPjWCAXz7ixNHJ7kLlHEC8IJM2TjYFQImrUErYxi9KTY3wf8YwlQPPme4OUmKutGW0eDVtT7zdjZTPe_pOd30co0XySdrMk-dzH-DyQL7Mj-0K4FPwbWgnyBSZjk0D5tDLk7tvgbox6TmK-xqOMtVgTdMhbxfz95MupLoL4%3D,Senior Game Mathematician,"Reno, NV",$100K - $125K (Employer est.),(Employer est.),Easy Apply,30d+,,Show More,"Basic Qualifications:
Education: Bachelor degree in mathematics, operations research, applied statistics, economics, data science or a related quantitative discipline.","Experience: 3 years experience applying quantitative, business analytics, and computational skills.",Additional Requirements:,"Additional Requirements:
1) Competence with analytic software packages such as SAS, R, SPSS
2) Knowledge of database concepts and practices
3) Ability to work in a collaborative, team oriented environment
4) Ability to apply strong analytical and complex problem solving and critical thinking skills
5) Excellent oral and written communication skills.
6) Willingness for occasional travel","Candidates must be local to New Albany/Columbus, OH area for consideration, and must possess the following skills:",Employer Provided Salary:$33.00 - $41.00 Per Hour,Ainsworth Game Technology,Senior Game Mathematician,"Reno, NV",$100K - $125K (Employer est.),Easy Apply,"College degree in a related field (i.e., Sciences, Math). Work closely with software development teams to ensure correct implementation of games math and game……",30d+,,3.0
Works consistently to enhance technical skills and develop proficiency with new data analysis tools and techniques.…,https://media.glassdoor.com/sql/30098/hamilton-college-new-york-squareLogo-1667830410944.png,4.5,Hamilton College,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=00000186d383966595ad8d125727e300&src=GD_JOB_AD&t=SR&vt=w&cs=1_b66dd469&cb=1678585862129&jobListingId=1008445231183&cpc=7CEE4C1C86B9E1E4&jrtk=3-0-1gr9o75k3kckv801-1gr9o75kkharn800-0bb0f758b9f7dc46--6NYlbfkN0ATKcDG7uKu-HzE7G0Rbx-rO7IixqtbOcMq1Ypzrxa53ONfJFcpPAwiFJ8YNQL-_Ny-b-caHq3Monw5lX2ArcBsTFU53jDltiMwCceJ7opqHT0v9XHFQF2MbgcI3DhFWVpVkSfm9qnQIwx6deCdwpXuZjpJNdDjoL9iAlaoiNkW29cMxo5ImcL9O0Ue3X4jSnHnEsvBN7v-KFTPeR83o4Q8LaRek7Yr9tXRI-raBEqqZYTg0e8zFTKIwUjIlI_6xazs1T_sL2wE1P759jbrThiZm8RcdozBGXxGdHOfXCu4Odr9NemXfk0yDJFc6568duqQF4SVLCgXXK9xd93o-HHfc-QL822z3SgPWrX4yftkL3ruMgVcq5n7vgkW6CTEraLESRLtXEBCVESzmV3mZ8clIrvsgEjxg2FYSiELSKya3uJFoMzTZ-LpvpwEFGOl6N6eGzAkRYmIY8auGeMvgtsavJdxn2Q7eVUH6ZTxUi8mrgbTcEfh6HuzGyS7Lv76NOFo3EaAFqEIcAMycEIqGwiy4zd8k80XWg0vBnCqfUu1Zw%3D%3D,Data Science/Analysis Research Librarian,"Clinton, NY",,,,30d+,data,Show More,"Basic Qualifications:
Education: Bachelor degree in mathematics, operations research, applied statistics, economics, data science or a related quantitative discipline.","Experience: 3 years experience applying quantitative, business analytics, and computational skills.",Additional Requirements:,"Additional Requirements:
1) Competence with analytic software packages such as SAS, R, SPSS
2) Knowledge of database concepts and practices
3) Ability to work in a collaborative, team oriented environment
4) Ability to apply strong analytical and complex problem solving and critical thinking skills
5) Excellent oral and written communication skills.
6) Willingness for occasional travel","Candidates must be local to New Albany/Columbus, OH area for consideration, and must possess the following skills:",Employer Provided Salary:$33.00 - $41.00 Per Hour,Hamilton College,Data Science/Analysis Research Librarian,"Clinton, NY",,,Works consistently to enhance technical skills and develop proficiency with new data analysis tools and techniques.…,,,3.0
"Key skills for the Data Scientist Consultant include: Exceptional attention to detail, work ethic and follow-through; technical abilities to expertly perform……",,,TBD Solutions LLC,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=00000186d383966595ad8d125727e300&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_98a49280&cb=1678585862129&jobListingId=1008502238053&cpc=973E6D846143997F&jrtk=3-0-1gr9o75k3kckv801-1gr9o75kkharn800-88027e97e62004d0--6NYlbfkN0Ckpj9pJ7qJ3ygixlf8Zq4O57HXgoGXYFjkOTaLGVoyZ7n54bTGyHY7p4jiJK-iiA0BrX_D-usssYtvFb0zUvBXFVExVJxNHRPFH5SV0Irl4D36QrAeAvnQBwu6o92n8nIA3K9zmQK0hUan_iSJRBCXcq5vqpnVLq6wgUrXHu4vMlqbpdJQJ8DTHuZFDnAVJWKv7S330PDDExIi4OnxMPvaEtq6X88FJeAZrRsQX5UuyG8tWNkbcRreo6bZuZHlVnNU7LLMLxqtIUeSbNjrSlOYlmm59a6c-A9ytzaB-sKGuLw4xT9FlJarPk2Z5LNWDncR0e3P-Y1g1v_8nOXCNqB0OlbIXHsz7IK5W75rAWR1c2wLJJSebW_ozy1gFyCvzoObdLsSkTM0zNpSZB8HzfefEhwoX06edQxSzi8Ygoq66bmtSHYQF94JeCGMYtiWwEoTn7bWVz_98dJvFkpeAnpWphnTkepGTOpL2mURvieyzpNDaT5nNSO_ZP7qo-FDDOK5kJCFig5PkyaSiHeRlmtsfabzvYhKN3Icc5G4ieLq61uHLV1qiGFcXDPqeunkEUpUr6nMT7hMyzXCP7-8nq06zHzNXTDCAeI%3D,Data Scientist Consultant,"Grand Rapids, MI",$78.75 Per Hour(Employer est.),(Employer est.),Easy Apply,10d,Data,Show More,"Basic Qualifications:
Education: Bachelor degree in mathematics, operations research, applied statistics, economics, data science or a related quantitative discipline.","Experience: 3 years experience applying quantitative, business analytics, and computational skills.",Additional Requirements:,"Additional Requirements:
1) Competence with analytic software packages such as SAS, R, SPSS
2) Knowledge of database concepts and practices
3) Ability to work in a collaborative, team oriented environment
4) Ability to apply strong analytical and complex problem solving and critical thinking skills
5) Excellent oral and written communication skills.
6) Willingness for occasional travel","Candidates must be local to New Albany/Columbus, OH area for consideration, and must possess the following skills:",Employer Provided Salary:$33.00 - $41.00 Per Hour,TBD Solutions LLC,Data Scientist Consultant,"Grand Rapids, MI",$78.75 Per Hour(Employer est.),Easy Apply,"Key skills for the Data Scientist Consultant include: Exceptional attention to detail, work ethic and follow-through; technical abilities to expertly perform……",10d,,3.0
"Experience in NLP feature engineering and modeling (e.g., text classification, entity recognition, entity extraction, question answering).…",https://media.glassdoor.com/sql/18645/boston-children-s-hospital-squareLogo-1623685065263.png,4.0,Boston Children's Hospital,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=00000186d383966595ad8d125727e300&src=GD_JOB_AD&t=SR&vt=w&cs=1_8a276c07&cb=1678585862129&jobListingId=1007784538116&cpc=4AF433014564FFC7&jrtk=3-0-1gr9o75k3kckv801-1gr9o75kkharn800-f18a9d664939d3d6--6NYlbfkN0Bhr8CzNXk_kq8VbOnaegUXV7MSXFkQREdFtn5A2jDwRArKtI5GiFp3ChOKtWnLwC_OW6vYX-cTxth2ADoFbA2dKzNxoaFfW1vg9-p0vw1bHt1G3GKsFJXl94f3iDe5arrvfxgftQQB6WuRE1zqT_PsUSjq_1V3FBtqd_GDF7_eKcVdkMp1D3gRIXWY05nu1eC9HreVIBYaNBflyQjCKQRUjrZdC4gw_CdYvnfjqZMmixay66yijxnesGLJNyeLYwVdErWKr_8rtbTeVb4TPXkGXTnkdpCAXfe5vZQoqt2zU8HqkHeBTJm50Deq3afO5LE4ppUVuqMVv8DfbxGCYQpcj7rLNJhr4hGqc48MX_2b3BAi8rUbyrPoRtnQ8-CGGBvEupXu2XTquLhU6vy3Q7zhWZnwx-n5Xdz7Bcapx6roi25xjjDuBn64eS45vVyV8Aps_7P-flwr5Qfc-D_QXTZlQqY4svSvzeZcDf5RSQIsxE8qHhL8mp9ic5D9ci07DatSlr2N2-69525Ihaz9S9p8WwMX4ZRPXU99bUpYwyZeX_eMtYgcmT8qMMv4Ec7_-WZ4-6eT7mU-jsoh21WFVfmzDnzl-7GgibTyGMJP1L3gtPYr5sF9KwR4KBieRFvgKgXQXZiyzKh4k2aSgFRw3juccM1u0Vn3_3AZUr9Ha0-FQqcDA9hH1L3b_G797QlFPtk%3D,Natural Language Processing Research Assistant II,"Boston, MA",$42K - $54K (Glassdoor est.),(Glassdoor est.),,30d+,,Show More,"Basic Qualifications:
Education: Bachelor degree in mathematics, operations research, applied statistics, economics, data science or a related quantitative discipline.","Experience: 3 years experience applying quantitative, business analytics, and computational skills.",Additional Requirements:,"Additional Requirements:
1) Competence with analytic software packages such as SAS, R, SPSS
2) Knowledge of database concepts and practices
3) Ability to work in a collaborative, team oriented environment
4) Ability to apply strong analytical and complex problem solving and critical thinking skills
5) Excellent oral and written communication skills.
6) Willingness for occasional travel","Candidates must be local to New Albany/Columbus, OH area for consideration, and must possess the following skills:",Employer Provided Salary:$33.00 - $41.00 Per Hour,Boston Children's Hospital,Natural Language Processing Research Assistant II,"Boston, MA",$42K - $54K (Glassdoor est.),,"Experience in NLP feature engineering and modeling (e.g., text classification, entity recognition, entity extraction, question answering).…",30d+,,3.0
"Degree in computer science, engineering, physics, applied mathematics or a related field. Develop mathematical models and implement novel algorithms that……",,,Novateur Research Solutions,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=00000186d383966595ad8d125727e300&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_1f6c2b73&cb=1678585862129&jobListingId=1008104107052&cpc=AF8BC9077DDDE68D&jrtk=3-0-1gr9o75k3kckv801-1gr9o75kkharn800-77e9072776e0640e--6NYlbfkN0A1UtxlOJl6Y6F02-oTF9zwI-Nb9Dq9qDYX5XseiH9toUfXu3a75OfVg9vFsqgscdNWuA9QSsgLggEpbZOeGcgjoCNh6IyjuwII5gDY3c2uZXeJk0mDPN-fbvUQ6DFMH4Stj-AGiFz8UXPNAgeka_JN86_Ydem9U3K0ukw3cbplsXx0A8oMBmyTyDVOvj0o8RjWLkkReDjQhHm-304pATuMq3kvT5cj-oRTLwOU3188udRRGZslxi3MupEf0bkB-X-vFOOgE7ugZeby5o9yjLvA46s20HPXoNa4iBkF2zIVhfEssK-N-tykokz4oi2j0tzZtlrbPC9gi03aQqg9jq1Jn8uLIwtR8xgOlo_MFVLgMq6neD3OxAaul6pqn2sVLqJtJCRfkp_M7Z6H_w9F3tKOPU6W7FNLE7N-iyZLWsA7hm13IB20Yr1au2HeT3DXhUiogmkzQvWIm2r5PZItvXkiVoOKOMZRjohuW867WrFka_J0VU6iXoFlzUMUBSYaexGQfHjopgboMvOwVD-PhpMXM7ewgzhKt-JhWmjYCinKg04QDdHWuWYdD6ac_t9zmKGGrHl0JAR5H954Lg09RjmNpcV6lcX3pYk%3D,Machine Learning Scientist,"Ashburn, VA",,,Easy Apply,30d+,,Show More,"Basic Qualifications:
Education: Bachelor degree in mathematics, operations research, applied statistics, economics, data science or a related quantitative discipline.","Experience: 3 years experience applying quantitative, business analytics, and computational skills.",Additional Requirements:,"Additional Requirements:
1) Competence with analytic software packages such as SAS, R, SPSS
2) Knowledge of database concepts and practices
3) Ability to work in a collaborative, team oriented environment
4) Ability to apply strong analytical and complex problem solving and critical thinking skills
5) Excellent oral and written communication skills.
6) Willingness for occasional travel","Candidates must be local to New Albany/Columbus, OH area for consideration, and must possess the following skills:",Employer Provided Salary:$33.00 - $41.00 Per Hour,Novateur Research Solutions,Machine Learning Scientist,"Ashburn, VA",,,"Degree in computer science, engineering, physics, applied mathematics or a related field. Develop mathematical models and implement novel algorithms that……",,,3.0
"A BS degree in mathematics, physics, astronomy, optics, engineering, or a related field. Support flight tests and related field operations and analyze the data……",https://media.glassdoor.com/sql/194262/johns-hopkins-university-applied-physics-laboratory-squarelogo-1514303602515.png,4.3,Johns Hopkins Applied Physics Laboratory (APL),https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=00000186d383966595ad8d125727e300&src=GD_JOB_AD&t=SR&vt=w&cs=1_fbed4107&cb=1678585862129&jobListingId=1008444069717&cpc=55FC80EBF760BBE8&jrtk=3-0-1gr9o75k3kckv801-1gr9o75kkharn800-5361c51b0b279c38--6NYlbfkN0DND_cY4AdZ9uf0CyzxvdaEIkE64BMiSLR1NLUGRAKCdb0EIWzKl7iUQ7clxobffV_3Tw75_m9_UZESF4b2pBFtTuwMSmejQqJzLT0vcWK-WE3zXRtKEdkQRm8niZtp70J9Z-NRkFeP2IaboJUCdoGHDvGgVlXPyLm98ZnOReJbbpZ3mdIoYZHbO0HGrb58Bld3YSC2UKR7v4kheCNstoKAtuOd9I_Um_wYzsnpVd6wpLgQsBpanj6-OHa0SdljSYMoDWBzWDR3r00ny7r_SzkuRGQ7080hMSfeaID-6ToHKlY5hRUUnzTK78zkhvBAWEZuZx3Zqpji9Df9WtoHHtPMBf7DPgh1B3woNo7UyvWPERcZ1eolL1hLr48s_GQ89tSzQJ_HDNigrucHCd9rDUDV9_7Kw1zj9LggJvX3Sy7naSHzW7f759pvLkLi3h0LGBCj7CbPLRCZKnVjZ0YDC-ANx4nfmZhOU_mmmo0yXsTZjjz_2D8RQZmYT3jvfWAntOtO9ITJ16j9AExKZ7swP5PCaArj75bEKCRH-cJerOuwltfn4nXLuJQRGpnz96gkAAV_oaYvsh_c1-YfJLk0ht6-mk53fOA7SvVNy1LI0ftV5q0hBqbirlmrgimF8Kq1TWU%3D,Electro-Optic Data Scientist / System Engineer,"Laurel, MD",$71K - $109K (Glassdoor est.),(Glassdoor est.),,30d+,,Show More,"Basic Qualifications:
Education: Bachelor degree in mathematics, operations research, applied statistics, economics, data science or a related quantitative discipline.","Experience: 3 years experience applying quantitative, business analytics, and computational skills.",Additional Requirements:,"Additional Requirements:
1) Competence with analytic software packages such as SAS, R, SPSS
2) Knowledge of database concepts and practices
3) Ability to work in a collaborative, team oriented environment
4) Ability to apply strong analytical and complex problem solving and critical thinking skills
5) Excellent oral and written communication skills.
6) Willingness for occasional travel","Candidates must be local to New Albany/Columbus, OH area for consideration, and must possess the following skills:",Employer Provided Salary:$33.00 - $41.00 Per Hour,Johns Hopkins Applied Physics Laboratory (APL),Electro-Optic Data Scientist / System Engineer,"Laurel, MD",$71K - $109K (Glassdoor est.),,"A BS degree in mathematics, physics, astronomy, optics, engineering, or a related field. Support flight tests and related field operations and analyze the data……",30d+,,3.0
Provides guidance and technical coaching to less experienced staff to support effective workflow and develop technical talent. 2+ years of relevant experience.…,https://media.glassdoor.com/sql/366592/mta-metro-north-railroad-squarelogo-1387035784911.png,3.6,Metropolitan Transportation Authority,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=00000186d383966595ad8d125727e300&src=GD_JOB_AD&t=SR&vt=w&cs=1_4b8d587f&cb=1678585862129&jobListingId=1008359249694&cpc=70D6958B2CFB98E6&jrtk=3-0-1gr9o75k3kckv801-1gr9o75kkharn800-5afae650daa347cc--6NYlbfkN0CQjGBvBzxy8B4utFrgaY1ny7GkPzahpSOLjyaRgOrRoeNLSQ3Yh1Y9EYo3noXyziNZe5DqG_12KTVB4ulGBEypTnrGz1i8CzY3Exesekd7i9huPSoYVEbLXudV0TNAssRoXK9zAP8B-zmygLNkIq-t6LvNCDBihKrjADCw4UUN_vYoragtj2RpYGwaLhApuUiQ54Cool58VsWSjz26vTaK6LfBnNUlD7wVGX5bOtaUUtWL8yhODcK8RE_OtCF72UEuLaxHksteNQrBTV5zXWGF3QP6g3efnIhsogZ2qlVbvlJOq6_BDEmwGn05Qal2GsAFUuqemCEe8uETYbFNE5Zdojc6sbVDlpoK25-NJN8tTOyxx0kveQcLPffIbE6vIO8h1ED6HzRrHAsAw6nMxdLM9lvgXB5cx5_Mk0_FX5XzicIqg4ixVSPPmVN0jHEFcpf213-0vzBWaize_LzWO05QaH_pUYDX_A0Nrofu1VwaitDMWCoLA54fTPSDVgHYI1w4jOcmdbSl3Sj_9RUjmwrR93UPprNJ-GOByD0BOeBx3gQpGCf_5pC2nPA-yqF1NmzLbjeAKrwYoApdi2bBFBo5G6KWVUtzmpE7z9UkHiG7D-L1IkKgKSs5IRFnyxZEyc-GnvI8usaB9ucqpYzLgEgSfDFP0AIXZsSEZNFjeXX8Vd9ELhVXZo0vEXEGrCShQufF6apuzO7aM9WvlvCsheQNm0pVQY6GmqWUfMlWj_1tTmvcdGxKJ53I,"Cybersecurity Analyst Levels 1-7, Data Scientist",Manhattan,,,,30d+,,Show More,"Basic Qualifications:
Education: Bachelor degree in mathematics, operations research, applied statistics, economics, data science or a related quantitative discipline.","Experience: 3 years experience applying quantitative, business analytics, and computational skills.",Additional Requirements:,"Additional Requirements:
1) Competence with analytic software packages such as SAS, R, SPSS
2) Knowledge of database concepts and practices
3) Ability to work in a collaborative, team oriented environment
4) Ability to apply strong analytical and complex problem solving and critical thinking skills
5) Excellent oral and written communication skills.
6) Willingness for occasional travel","Candidates must be local to New Albany/Columbus, OH area for consideration, and must possess the following skills:",Employer Provided Salary:$33.00 - $41.00 Per Hour,Metropolitan Transportation Authority,"Cybersecurity Analyst Levels 1-7, Data Scientist",Manhattan,,,Provides guidance and technical coaching to less experienced staff to support effective workflow and develop technical talent. 2+ years of relevant experience.…,,,3.0
