"Search_Engine","Job_title","Company","Job_location_City","Job_location_State","Job_description"
"Linkedin","Data Analyst","Young Life","United States","","Mission/Authority

Serve mission leadership and staff by curating and analyzing key mission data to deliver insights and decision support to key Young Life stakeholders. Alongside technical and information leaders, deliver the data necessary to support effective decisions, discover efficiencies in mission data systems, and evaluate business data to determine effective analytics solutions.

Essential Duties

Build and maintain reporting and analytics is Workday, Salesforce, and Power BI related to Young Life’s Finance, Human Resources, Learning, and Product Development Team.
Assist in growing data literacy and self-service reporting capabilities for Young Life Finance, Human Resources, Learning, and Field organizations.
Interpret, analyze, and utilize statistical analysis techniques to discover patterns and key insights in mission critical data.
Execute the curation of data delivered by the data team and exploratory data for analytics consumption and deployment.
Organize and optimize all data residing in mission data schemas.
Support department embedded analysts by delivering new data sets to meet their reporting and analytics needs.
Assist the Data Architect in developing the data models necessary to support a wide variety of information needs.
Collaborate with platform and data resources to ensure a high level of data availability and performance for all datasets used in reporting and analytics.
Collaborate with the data quality staff to ensure clean and accurate data for reporting and analytical models.
Collaborate with key business staff and leaders to design and build analytical solutions to meet the operational reporting and decision support need of the mission.
Assist in building a business intelligence center of excellence to support a wide variety of analytical and reporting needs for mission leadership and staff.
Assist in pioneering data activities in response to prospective use cases driven by IS and Strategic Leadership.
Engage in assigned data related projects across the analytics and data ecosystem.

Working Relationships

Multiple regular interactions with key technical and ministry operations stakeholders to maintain a sense of awareness and understanding of current ministry needs.
Regular involvement in the cross-departmental teams.
Collaborate with Project Management to provide data expertise and perspective on key mission projects.
Assists the Director of Mission Analytics and Decision Support in furthering the goals of the mission.

Education

Bachelor’s, Master’s Degree, or equivalent experience in a business, technical, or data related field required.

Working Conditions

Office Environment at the Service Center in Colorado Springs, CO with hybrid or remote options.
Travel 1-3 times a year may be required.
This position offers a competitive salary range of $59,800 - $74,749 annually commensurate with relevant experience, qualifications, and education.

Qualifications Required For The Job

5-7 years minimum work experience.
Proficiency in modern business intelligence and enterprise platform tools is required (Workday, Salesforce, Power BI, Excel, or similar).
Strong working knowledge of relational databases and/or SQL is required.
Experience with Snowflake and Python is preferred.
3 or more years of related data, business intelligence, or data analyst experience required.
Highly organized, self-motivated, and attentive to detail.
Strong interpersonal, communication, and problem-solving skills needed.

Application

Please submit your application, resume, and cover letter by April 3rd, 2023."
"Linkedin","Data Analyst (Digital Media)","WaitWhat","New York","NY","About WaitWhat

WaitWhat creates and owns one of the most valuable independent portfolios of premium content designed to elevate human potential — Masters of Scale (business/leadership), Meditative Story (well-being/mental fitness), and Spark & Fire (creativity/innovation).

Today, WaitWhat’s portfolio is downloaded millions of times every month, represents one of the largest bodies of timeless wisdom, and helps people around the world access their own potential. We design each media property to scale beyond the first format, with an expansive suite of profitable learning products, content experiences, and live events — both for consumer and enterprise markets – that reach a passionately loyal audience.

In everything WaitWhat creates, we aim to elicit the contagious emotions of wonder and curiosity — infusing the content with “Wait, what?” moments that help us achieve mastery and live at the top of our talent.

WaitWhat’s vibrant culture is rooted in optimism, possibility thinking, and an uncommon willingness to embrace risk with an intention to push the outer bounds of creativity and experimentation. Purposefully rich in diversity, we treat each other with kindness and respect, and always support “yes, and” style conversations. Our passion for creating new business models, and building inventive partnerships, makes allies out of competitors.

WaitWhat’s strategic focus on diversity (including gender balance) among guests creates network effects, drawing an ever-widening circle of diverse A-list guests. Heading into 2023, we enjoy an extraordinary group of diverse, purpose-driven, and deeply admired investors, a strong balance sheet, and a clear thesis to chart our path to the next level of scale.

About the role:

WaitWhat is seeking a Data Analyst (digital media) to work collaboratively across the organization towards building a more data-informed culture.

Data is a developing channel at WaitWhat. You’ll have the opportunity to make your mark — working collaboratively across the organization with executive leadership, marketing, product, content, technology and design to build and deliver intelligence that fuels our growth.

You’ll aggregate and analyze content data from a growing number of sources, and distill complex analyses into clear, actionable solutions for teams throughout the company.

This role will work alongside the Head of Audience Development & Growth as a key member of the team. We’ll work creatively & collaboratively together. We all bring ideas to the table and we build on them to bring them to life.

We want to deepen your skills and stretch your talents in new ways; give you ownership and responsibility for projects; inspire and delight your ability to impact the world through the media we create; and welcome you into a very special humble, high-collaborative startup environment.

The areas where you’ll leave your mark:

Aggregate and analyze data from various sources for all of WaitWhat’s media properties to assess the effectiveness of existing marketing, advertising and communications programs. Channels include (but are not limited to) podcasting, web, email, social media, video and subscription apps.
Prepare and present data in a way that is visual, uncomplicated and accessible to everyone to understand.
Work collaboratively across the organization to identify and develop solutions for the tracking of KPIs across departments.
Create and evaluate methods for gathering data, including surveys, interviews, questionnaires and opinion polls.
Be a key stakeholder in the scoping & implementation of new MarTech systems.


Requirements

You’ve got 3-5 years of experience in a data analytics role at a digital media company.
You understand how content behaves all across the digital landscape. In particular, podcasting, web, subscriptions, video and apps.
You have an insatiable curiosity about how and why things work and why sometimes they don’t.
You are an impeccable executor with a knack for getting things done on schedule, but always with excellence because you sweat the details.
You have the mind and the ambition to meet high-reaching growth goals for our media properties, both in their first format and their extensions.


Benefits

This is a full-time position in NYC / remote. The salary range for this role is $100k - $150k. This is the lowest to highest salary we reasonably and in good faith believe we would pay for this role at the time of this posting. We may ultimately pay more or less than the posted range, and the range may be modified in the future. An employee’s pay position within the salary range will be based on several factors including, but not limited to, relevant education, qualifications, certifications, experience, skills, geographic location, performance, and business or organizational needs. Candidates with expectations outside of this range or experience outside of the requirements listed are still encouraged to apply as there may be other positions that could be a fit.

We offer a benefits package that’s generous and competitive with larger companies. Benefits include 3 weeks of company holiday (2 weeks in summer + one week between Christmas and New Years), 5 personal days, healthcare (PPO, vision and dental), short- and long-term disability, life insurance and 401 (k). We’re an anti-racist organization, committed to equity and diversity of all kinds — on our team, among our investors, and as represented in our media properties. Most importantly, we only hire extremely kind people."
"Linkedin","Human Resources Data Analyst","Los Angeles Dodgers","Los Angeles"," CA","Job Details




Description




Title: Human Resources Data Analyst




Department: Human Resources




Reports to: Director, Compensation & Benefits




Status: Part-Time, Temporary (3-month assignment)




Pay Rate: $28.00 - $30.00/hour*




Compensation rates vary based on job-related factors, including experience, job skills, education, and training.




The Human Resources Data Analyst will collect, compile, and analyze HR data, metrics, and statistics, and apply this data to make recommendations. Performs administrative and professional work organizing the administrative and technical aspects for HR program area(s), develops and establishes work processes and procedures to deliver program services, evaluates effectiveness of program services and efficiency of processes, and implements prescribed program guidelines and objectives. This position will be fully remote.




Essential Duties/Responsibilities




Analyze and document data structures
Pursue in-depth knowledge of systems, processes and reports to ensure full understanding
Prioritize and deliver on multiple in-flight projects at the same time across multiple HR focus areas
Proactively communicate with project stakeholders to meet project deadlines and expectations
Analyze information and make correct inferences or draw accurate conclusions
Review and evaluate Human Resources data, provide recommendations for enhancements to workflow and work processes to effectively use HRIS (UKG)
Evaluate issues and opportunities identified in assignments improve performance and processes within data and UKG platform. Document and present changes for development and delivery
Maintain knowledge of HR data and configurations and how they impact workflows and results
Analyze data and statistics for trends and patterns with attention to current HR practices and compliance with employment laws and regulations
May conduct or assist with conducting audits and additional projects as assigned




Basic Requirements/Qualifications




Can identify rules, principles, or relationships that explain facts, data, or other information
Skills in statistical analysis related to testing validation.
Strong analytical skill to analyze a variety of different data structures
Understanding of business analytics fundamentals
Strong problem solving skills
Proficient in Microsoft Office with advanced Excel skills including pivot tables, match, indirect, etc.
The ability to maintain strict confidentiality
Ability to learn compliance reporting requirements
Insights into strategic metrics
Proficient with or the ability to quickly learn the organization's HRIS (UKG), payroll, and similar employee management software.
Good communication skills
Bachelor's degree in Human Resources, Business Administration, Finance or related field required




Current Los Angeles Dodgers employees should apply via the internal job board in UltiPro by following these prompts:




MENU > MYSELF > MY COMPANY > VIEW OPPORTUNITIES > select the position > CONSENT > APPLY NOW




LOS ANGELES DODGERS LLC is firmly committed to providing equal opportunity for all qualified applicants from every race, creed, and background. The Organization is also firmly committed to complying with all applicable laws and governmental regulations at the state and local levels which prohibit discrimination.




LOS ANGELES DODGERS LLC considers all applicants without regard to national origin, race, color, religion, age, sex, sexual orientation, disability, military status, citizenship status, pregnancy or related medical conditions, marital status, ancestry-ethnicity, or any other characteristic protected by applicable state or federal civil rights law. The Immigration Reform and Control Act require that the Organization obtain documentation from every individual who is employed which verifies identity and authorizes their right to work in the United States."
"Linkedin","Human Resources Data Analyst","Los Angeles Dodgers","Los Angeles"," CA","Job DetailsDescriptionTitle: Human Resources Data Analyst Department: Human ResourcesReports to: Director, Compensation & BenefitsStatus: Part-Time, Temporary (3-month assignment)Pay Rate: $28.00 - $30.00/hour*Compensation rates vary based on job-related factors, including experience, job skills, education, and training.The Human Resources Data Analyst will collect, compile, and analyze HR data, metrics, and statistics, and apply this data to make recommendations. Performs administrative and professional work organizing the administrative and technical aspects for HR program area(s), develops and establishes work processes and procedures to deliver program services, evaluates effectiveness of program services and efficiency of processes, and implements prescribed program guidelines and objectives. This position will be fully remote.Essential Duties/ResponsibilitiesAnalyze and document data structuresPursue in-depth knowledge of systems, processes and reports to ensure full understandingPrioritize and deliver on multiple in-flight projects at the same time across multiple HR focus areasProactively communicate with project stakeholders to meet project deadlines and expectationsAnalyze information and make correct inferences or draw accurate conclusionsReview and evaluate Human Resources data, provide recommendations for enhancements to workflow and work processes to effectively use HRIS (UKG)Evaluate issues and opportunities identified in assignments improve performance and processes within data and UKG platform. Document and present changes for development and deliveryMaintain knowledge of HR data and configurations and how they impact workflows and resultsAnalyze data and statistics for trends and patterns with attention to current HR practices and compliance with employment laws and regulationsMay conduct or assist with conducting audits and additional projects as assignedBasic Requirements/QualificationsCan identify rules, principles, or relationships that explain facts, data, or other informationSkills in statistical analysis related to testing validation.Strong analytical skill to analyze a variety of different data structuresUnderstanding of business analytics fundamentalsStrong problem solving skillsProficient in Microsoft Office with advanced Excel skills including pivot tables, match, indirect, etc.The ability to maintain strict confidentialityAbility to learn compliance reporting requirementsInsights into strategic metricsProficient with or the ability to quickly learn the organization's HRIS (UKG), payroll, and similar employee management software.Good communication skillsBachelor's degree in Human Resources, Business Administration, Finance or related field requiredCurrent Los Angeles Dodgers employees should apply via the internal job board in UltiPro by following these prompts:MENU > MYSELF > MY COMPANY > VIEW OPPORTUNITIES > select the position > CONSENT > APPLY NOWLOS ANGELES DODGERS LLC is firmly committed to providing equal opportunity for all qualified applicants from every race, creed, and background. The Organization is also firmly committed to complying with all applicable laws and governmental regulations at the state and local levels which prohibit discrimination.LOS ANGELES DODGERS LLC considers all applicants without regard to national origin, race, color, religion, age, sex, sexual orientation, disability, military status, citizenship status, pregnancy or related medical conditions, marital status, ancestry-ethnicity, or any other characteristic protected by applicable state or federal civil rights law. The Immigration Reform and Control Act require that the Organization obtain documentation from every individual who is employed which verifies identity and authorizes their right to work in the United States."
"Linkedin","Data Analyst","RSA Conference","Boston"," MA","We are seeking a proven Data Analyst that can support the marketing team by providing data driven insights regarding markets, competitors, and campaign effectiveness. Working alongside a Senior Data Strategist and Marketing Director, this role will be responsible for maintaining, enhancing, and executing a comprehensive marketing analytics strategy and tracking program. This position will provide analysis on a formal and ad hoc basis using standardized and automated reporting with the objective of measuring performance and supporting business decisions. Working with the Data Strategist, the Data Analyst will work on data cleansing, modeling, joining, querying, and automation for the purpose of analysis and visualization.




Responsibilities




Provide business analytics for marketing, technology, and editorial teams.
Work with stakeholders to understand their unique challenges, translate those challenges into data problems, and then provide insight back to the business based on a quantitative perspective.
Summarize analytical results, drawing out key learnings, making recommendations and presenting to key stakeholders in a clear and precise manner.
Work with Data Strategist to define data requirements for modelling and automation projects.
Work with all-things Google Analytics 4, Google Tag Manager, BigQuery, and Tableau.




Required Experience




Candidates should have extensive experience in the following:




Configuring and maintaining a complex Google Analytics 4 implementation.
Configuring and maintaining a complex Google Tag Manager implementation, including creating a tag firing logic based on user consent.
Google Tag Manager server-side implementations.
Tableau environment and creating interactive visually compelling dashboards.




Candidate should be proficient in the following:




Analyzing and visualizing organic/paid search, email, social, online transactions, and website behavior data.
Conducting advanced attribution and ROI modeling using campaign data across channels and user journey.
Breaking data silos by creating resilient modelling of large dataset using disparate sources.
Performing clustering/cohort analysis on large datasets for the purpose identifying market segments and future product initiatives.
Writing ad-hoc queries to assist in analysis of customer segmentation and reporting.
Assisting in the maintenance and expansion on existing data documentation, including data definition, meta data, sampling, and cleaning procedures.
Assisting in the design and creation of data transformation processes prior to visualization and establish convention for post-transformation data storage.
Tableau Data Management and Prep Conductor for the purpose of manipulating and setting auto-refresh data pipelines is a plus.




Qualifications




Bachelor's degree in statistics, business administration, finance, mathematics or a related field.
Minimum of 5 years in business analytics including experience in Analytics, Marketing Analytics and strategy development within a B2B environment.




This is a Remote (work from home) position.




Powered by JazzHR




MUBxkLeagW"
"Linkedin","Data Analyst","Clutch","United States","","Role/Title: Data Analyst




Salary Range: up to 40hr




Remote




Clutch Creative is a rapidly growing staffing agency. We support our clients by identifying unreachable talent that helps their businesses grow.




Our candidates work with us because they know we have the best opportunities available to them and will help them navigate their next career move.




We care, we're honest, and we hustle—that's what makes us Clutch.




Clutch is looking for a Data Analyst for a contract position with a client of ours.




Responsibilities




Collect and analyze data from various sources.
Develop and maintain databases and data systems.
Interpret data, analyze results, and provide insights to support decision-making processes.
Create reports and visualizations to communicate findings to stakeholders.
Download reports into a spreadsheet in a clean, easy-to-read format.
Run MRI Simmons reports.
Identify patterns and trends in data.
Collaborate with cross-functional teams to develop and implement data-driven strategies.
Develop and maintain data quality and accuracy standards.




Required Skills




Bachelor's degree in a relevant field.
2+ years of experience in data analysis.
Proficiency in Microsoft Excel and Google Sheets.
Familiarity with data visualization tools.
Ability to work independently and as part of a team.
Strong attention to detail.
Excellent written and verbal communication skills.
Ability to prioritize and manage multiple projects simultaneously.




If you are interested in this opportunity, please apply today."
"Linkedin","Data Analyst I","Kaiser Permanente","Los Angeles"," CA","Description




Job Summary:




This individual contributor is primarily responsible for assisting senior colleagues to support data-informed decisions, assisting with data and information gathering for targeted variables in an established systematic fashion, and assists with data preparation for analytic efforts under the guidance of more senior employees.




This position assists with the execution of creative data analytic approaches leading to actionable outcomes and assists with data analysis interpretation under the guidance of more senior employees.




Essential Responsibilities




Pursues self-development and effective relationships with others by sharing information with coworkers and customers; listening and responding to performance feedback; acknowledging strengths and weaknesses; and adapting to and learning from change, difficulties, and feedback.
Completes work assignments by following procedures and policies and using data, and resources; collaborating with others to address business problems; adhering to established priorities, deadlines, and expectations; communicating progress and information; occasionally identifying and recommending ways to address improvement opportunities; and escalating issues or risks as appropriate.
Supports data-informed decisions under the guidance of more senior employees by assisting in the development of outcomes and process measures; documenting business requirements; adhering to data/information needs and data collection methods; supporting the measurement of impact of business decisions on clients, customers, and/or members; supporting end-users; and documenting processes and deliverables.
Assists with data and information gathering for targeted variables in an established systematic fashion by cleaning and organizing data; querying, merging, and extracting data across sources; completing routine data refresh and update; and providing user support and documentation.
Assists with data preparation for analytic efforts under the guidance of more senior employees by cleaning data to ensure quality and accuracy based on provided guidelines; and consolidating data.
Assists with the execution of creative data analytic approaches leading to actionable outcomes by conducting basic analyses under the guidance of more senior employees, including descriptive statistics.
Assists with data analysis interpretation under the guidance of more senior employees by organizing reports and presentations telling a compelling story to stakeholders to enable and influence decision making.




Minimum Qualifications




Minimum sixty (60) credits towards a Bachelors degree in Mathematics, Statistics, Engineering, Social/Physical/Life Science, Business, or related field OR Minimum One (1) year experience in data analytics or a directly related field.




Preferred Qualifications




Six (6) months experience working with data extraction and manipulation language.
Six (6) months experience working with Excel.




Primary Location: California,Harbor City,South Bay P.C. View Building 1030 W. Pacific Coast Scheduled Weekly Hours: 40 Shift: Day Workdays: Mon, Tue, Wed, Thu, Fri Working Hours Start: 08:00 AM Working Hours End: 05:00 PM Job Schedule: Full-time Job Type: Standard Employee Status: Regular Employee Group/Union Affiliation: NUE-SCAL-02|NUE|Non Union Employee Job Level: Individual Contributor Specialty: Data Analysis Department: South Bay Med Center - Strategic & Clinical Goal Mgt - 0806 Pay Range: $59900 - $77550 Travel: Yes, 5 % of the Time At Kaiser Permanente, equity, inclusion and diversity are inextricably linked to our mission, and we aim to make it a part of everything we do. We know that having a diverse and inclusive workforce makes Kaiser Permanente a better place to receive health care, a more supportive partner in our communities we serve, and a more fulfilling place to work. Working at Kaiser Permanente means that you agree to and abide by our commitment to equity and our expectation that we all work together to create an inclusive work environment focused on a sense of belonging and wellbeing.




Kaiser Permanente is an equal opportunity employer committed to a diverse and inclusive workforce. Applicants will receive consideration for employment without regard to race, color, religion, sex (including pregnancy), age, sexual orientation, national origin, marital status, parental status, ancestry, disability, gender identity, veteran status, genetic information, other distinguishing characteristics of diversity and inclusion, or any other protected status."
"Linkedin","Data Analyst I","Kaiser Permanente","Los Angeles"," CA","DescriptionJob Summary:This individual contributor is primarily responsible for assisting senior colleagues to support data-informed decisions, assisting with data and information gathering for targeted variables in an established systematic fashion, and assists with data preparation for analytic efforts under the guidance of more senior employees.This position assists with the execution of creative data analytic approaches leading to actionable outcomes and assists with data analysis interpretation under the guidance of more senior employees.Essential ResponsibilitiesPursues self-development and effective relationships with others by sharing information with coworkers and customers; listening and responding to performance feedback; acknowledging strengths and weaknesses; and adapting to and learning from change, difficulties, and feedback.Completes work assignments by following procedures and policies and using data, and resources; collaborating with others to address business problems; adhering to established priorities, deadlines, and expectations; communicating progress and information; occasionally identifying and recommending ways to address improvement opportunities; and escalating issues or risks as appropriate.Supports data-informed decisions under the guidance of more senior employees by assisting in the development of outcomes and process measures; documenting business requirements; adhering to data/information needs and data collection methods; supporting the measurement of impact of business decisions on clients, customers, and/or members; supporting end-users; and documenting processes and deliverables.Assists with data and information gathering for targeted variables in an established systematic fashion by cleaning and organizing data; querying, merging, and extracting data across sources; completing routine data refresh and update; and providing user support and documentation.Assists with data preparation for analytic efforts under the guidance of more senior employees by cleaning data to ensure quality and accuracy based on provided guidelines; and consolidating data.Assists with the execution of creative data analytic approaches leading to actionable outcomes by conducting basic analyses under the guidance of more senior employees, including descriptive statistics.Assists with data analysis interpretation under the guidance of more senior employees by organizing reports and presentations telling a compelling story to stakeholders to enable and influence decision making.Minimum QualificationsMinimum sixty (60) credits towards a Bachelors degree in Mathematics, Statistics, Engineering, Social/Physical/Life Science, Business, or related field OR Minimum One (1) year experience in data analytics or a directly related field.Preferred QualificationsSix (6) months experience working with data extraction and manipulation language.Six (6) months experience working with Excel.Primary Location: California,Harbor City,South Bay P.C. View Building 1030 W. Pacific Coast Scheduled Weekly Hours: 40 Shift: Day Workdays: Mon, Tue, Wed, Thu, Fri Working Hours Start: 08:00 AM Working Hours End: 05:00 PM Job Schedule: Full-time Job Type: Standard Employee Status: Regular Employee Group/Union Affiliation: NUE-SCAL-02|NUE|Non Union Employee Job Level: Individual Contributor Specialty: Data Analysis Department: South Bay Med Center - Strategic & Clinical Goal Mgt - 0806 Pay Range: $59900 - $77550 Travel: Yes, 5 % of the Time At Kaiser Permanente, equity, inclusion and diversity are inextricably linked to our mission, and we aim to make it a part of everything we do. We know that having a diverse and inclusive workforce makes Kaiser Permanente a better place to receive health care, a more supportive partner in our communities we serve, and a more fulfilling place to work. Working at Kaiser Permanente means that you agree to and abide by our commitment to equity and our expectation that we all work together to create an inclusive work environment focused on a sense of belonging and wellbeing.Kaiser Permanente is an equal opportunity employer committed to a diverse and inclusive workforce. Applicants will receive consideration for employment without regard to race, color, religion, sex (including pregnancy), age, sexual orientation, national origin, marital status, parental status, ancestry, disability, gender identity, veteran status, genetic information, other distinguishing characteristics of diversity and inclusion, or any other protected status."
"Linkedin","Data Analyst","ContractRecruiter.com","Suwanee"," GA","We are seeking a Data Analyst for a company in Suwanee, GA. The successful candidate will join a new enterprise analytics team focused on providing functional and technological capabilities to support business growth.







Responsibilities:







Collaborate with functional analysts and stakeholders to develop insight-driven analyses that add value to the business
Serve as a subject matter expert on the analytics technological ecosystem
Identify opportunities for productivity improvements through data process automation
Provide support for complex analyses and special projects as assigned
Advocate data literacy and analytics best practices
Develop dashboards and data workflows for enterprise solutions





Minimum Qualifications:







2 years of experience in an analyst role
Strong analytical and problem-solving skills
Excellent verbal and written communication skills
Proficiency with SQL, data automation technology (e.g., Alteryx), and data visualization tools (e.g., Tableau, PowerBI, ThoughtSpot or similar)
Demonstrated self-starter who proactively identifies new value-add opportunities





Preferred Qualifications:







4 to 6 years of experience in an analyst role
Experience with Data Governance practices and technology
Experience with SAP S/4 HANA and Salesforce
Experience with Distribution / Warehouse operations





The position offers a base pay between $76,800 and $105,600 per year at commencement of employment, with actual pay dependent on market location, job-related knowledge, skills, and experience. The company is an equal employment opportunity employer and adheres to federal law, verifying identity and eligibility to work in the United States."
"Linkedin","Data Analyst","Logic20/20, Inc.","Overland Park"," KS","Company Description




We’re a seven-time “Best Company to Work For,” where intelligent, talented people come together to do outstanding work—and have a lot of fun while they’re at it. Because we’re a full-service consulting firm with a diverse client base, you can count on a steady stream of opportunities to work with cutting-edge technologies on projects that make a real difference. Logic20/20's Global Delivery Model creates a connected experience for Logicians across geographies. You'll have access to projects in different locations, the technology to support Connected Teams, and in-person and online culture events in our Connected Hub cities.




Job Description




As a Data Analyst joining Logic20/20’s Advanced Analytics practice, you’ll review functional requirements and assist with functional specifications. You’ll work directly with our customers to develop insights into business and data models and perform data analysis activities to identify relational data issues.




What you’ll do:




Assess business requirements/model and gain an understanding of business metrics
Communicate technical issues to non-technical users
Demonstrate expertise in business analysis and data analysis
Identify business and technical impacts of user requirements and incorporate them into the project schedule
Qualifications




Must have:




5+ years of business/systems experience with data analysis and providing insights
3+ years of hands-on experience with Power BI
Strong experience with Excel and PowerPoint
Ability to travel to client office in Overland Park 3 days/week
Ability to provide quality work for executive-level presentation/consumption
Experience working and communicating with both information technology and strategic business teams




We’d also be super-impressed if you have:




Experience working in telecommunications and/or supply chain industries




Additional Information




All your information will be kept confidential according to EEO guidelines.




Compensation range: $105,500 - $135,000 annually




About Logic20/20




To learn more about Logic20/20, please visit: https://www.logic2020.com/careers/life-at-logic




Core Values




At Logic20/20, we are guided by three core values: Drive toward Excellence, Act with Integrity & Foster a Culture of We. These values were generated and agreed upon by our employees—and they help us pursue our goal of being one of the best companies to work for and to work with. Learn more at https://www.logic2020.com/company/our-values.




Logic20/20 Benefits




Why Logic20/20? It’s our goal to be one of the best companies to work for. One piece of the puzzle is an evolving set of benefits that extend past medical, dental, and 401(k).




You will have




Career Development – A built-in program from day 1, providing a mentor and individually-directed training opportunities, plus access to leaders across the company
PTO, Paid Holidays, & Voluntary Leave – Worry-free time off to recharge and pursue your personal goals
Community & Committees – As part of our “Culture of We,” Logic20/20 invests in providing many social, interest, and learning opportunities
Recognition – From peer recognition, swag, and the chance to win a once-in-a-lifetime type of award, we make your Logic20/20 journey stand out
Referral Programs & Bonuses – Employee, project, and sales referral programs with paid incentives




Equal Opportunity Statement




We believe that people should be celebrated: for their talents, ideas, and skills, but most of all, for what makes them unique. We prohibit harassment and/or discrimination based on age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status, or any other basis as protected by federal, state, or local law.




To learn more about our DE&I initiatives, please visit: https://www.logic2020.com/company/diversity-equity-inclusion




Privacy Policy




During the recruitment and hiring process, we gather, process, and store some of your personal data. We consider data privacy a priority. For further information, please view our company privacy policy."
